make,model,price,year,mileage,condition,city,state,country,condition2,vin,make,model,item_ID
Chevrolet,Avalanche 4 door,7500,2003,211000,Used,Chino,California,United States,Used,3gnec13t73g157542,Chevrolet,Avalanche,2.91706E+11
Ford,"Mustang Fastback, Coupe",7000,1967,999999,Used,Newport,Tennessee,United States,Used ,Used ,"“2 1967 Ford Mustang projects for sell.Fastback was 289,automatic with 5 lug wheels.Has the usual rust in floors trunk pan and other places.Frame rails appear to be in good condition.Rear seat and interior panel appear to be in car with good back glass.Have complete set of roof louvers and signal light driver guality hood that goes with car.Clear title in my name that matches numbers on driver inner fender.The Coupe was a 289 automatic 5 lug wheel car.Has usual rust in floors frame rails quarters doors etc.No front or rear seats. Have signal light hood for car rusty underneath has signal lights that could be used on another hood. Clear title not in my name that matches numbers on front inner fender.No motor or transmission in either car. Both cars have tires that hold air need to be trailered. Cars are sold as is no condition or warranty implied. For sale locally reserves the right to pull this ad . Questions call evenings 423-623-1225 7:30 to 10:30 E.S.T.”","“2 1967 Ford Mustang projects for sell.Fastback was 289,automatic with 5 lug wheels.Has the usual rust in floors trunk pan and other places.Frame rails appear to be in good condition.Rear seat and interior panel appear to be in car with good back glass.Have complete set of roof louvers and signal light driver guality hood that goes with car.Clear title in my name that matches numbers on driver inner fender.The Coupe was a 289 automatic 5 lug wheel car.Has usual rust in floors frame rails quarters doors etc.No front or rear seats. Have signal light hood for car rusty underneath has signal lights that could be used on another hood. Clear title not in my name that matches numbers on front inner fender.No motor or transmission in either car. Both cars have tires that hold air need to be trailered. Cars are sold as is no condition or warranty implied. For sale locally reserves the right to pull this ad . Questions call evenings 423-623-1225 7:30 to 10:30 E.S.T.”",3.22036E+11
Ford,F-150 Lightning 2dr Truck,13900,2002,132373,Used,Skokie,Illinois,United States,Used,2FTZF07302CA70616,Ford,F-150,1.31749E+11
 Bentley,Other 4dr Sdn ,169900,2014,3772,Used,Woodland Hills,California,United States,Used,SCBEC9ZA7EC090575,Bentley,Other,2.52307E+11
Pontiac,Firebird Base Coupe 2-Door,4000,1997,155000,Used,Las Vegas,Nevada,United States,Used,2G2FS22K0V2208291,Pontiac,Firebird,3.22034E+11
Ford,F-150 SHELBY,85995,2015,11,New,Willowbrook,Illinois,United States,New,1FTEW1EF2GFA73403,Ford,F-150,2.01539E+11
Chevrolet,Other Pickups,34800,1959,999999,Used,Wheat Ridge,Colorado,United States,Used,97650060682,Chevrolet,Other Pickups,2.52314E+11
BMW,3-Series Base Convertible 2-Door,16500,2008,58110,Used,Miami,Florida,United States,Used,wbawl13598px17866,BMW,3-Series,1.61999E+11
Chevrolet,"Corvette Base Coupe 2-Door, C-3",16500,1981,3200,Used,Dearborn Heights,Michigan,United States,Used ,Used ,"“Appraised & Insured With ""AMERICAN MODERN HOME/CAR INSURANCE COMPANY"" At The Original Starting Asking Price of $22,000...!!”","“Appraised & Insured With ""AMERICAN MODERN HOME/CAR INSURANCE COMPANY"" At The Original Starting Asking Price of $22,000...!!”",1.52003E+11
Ford,F-250 Platinum,64500,2015,12045,Used,Atlanta,Georgia,United States,Used,1FT7W2BT5FED43396,Ford,F-250,1.31748E+11
Chevrolet,Corvette Z51 Coupe 2-Door,56900,2015,7840,Used,Lake Hopatcong,New Jersey,United States,Used,1G1YK2D76F5106330,Chevrolet,Corvette,3.01892E+11
Ford,Mustang coupe,18900,1966,10000,Used,Meridianville,Alabama,United States,Used,1966,Automatic,Coupe,1.3175E+11
Chevrolet,C-10 CUSTOM CAB,6500,1966,129626,Used,Eads,Tennessee,United States,Used,1966,AUTOMATIC,"129,626",2.52313E+11
Mercedes-Benz,C-Class Sport,17499,2010,56310, , ,,, , , , , 
Ford,Mustang 2dr Convertible GT Premium,36688,2015,11949,Used,Austin,Texas,United States,Used,1FATP8FF1F5350287,Ford,Mustang,2.91705E+11
Porsche,911 2dr Convertible,67800,2005,16396,Used,Las Vegas,Nevada,United States,Used,WP0CB29955S675195,Porsche,911,1.52E+11
Chevrolet,Corvette Base Hatchback 2-Door,22900,1994,22951,Used,Plymouth,Michigan,United States,Used,1G1YY22P7R5119044,Chevrolet,Corvette,3.81556E+11
BMW,Z3 M series,28999,2000,2000,Used,Van Nuys,California,United States,Used ,Used ,“Very minor scratches or wear from normal use.”,“Very minor scratches or wear from normal use.”,2.01537E+11
 Cadillac,Other Base Hardtop 4-Door ,17000,1966,55000,Used,Eagle River,Wisconsin,United States,Used,1966,Automatic,Hardtop,1.31746E+11
Porsche,911 2dr Coupe Carrera 4S,49800,2009,53726,Used,Miami,Florida,United States,Used,WP0AB29999S721883,Porsche,911,1.9182E+11
Ford,F-250 King Ranch,15800,2005,168610,Used,Walker,Louisiana,United States,Used,1FTSW21P65EB11872,Ford,F-250,2.31872E+11
Jaguar,XK Base Convertible 2-Door,16990,2004,71090,Used,West Palm Beach,Florida,United States,Used,SAJDA42B843A39514,Jaguar,XK,1.72123E+11
 Dodge,Dart 2 Door Coupe ,28000,1969,0,Used,Boonton,New Jersey,United States,Used,0,Dodge,Dart,2.01536E+11
Chevrolet,Corvette Base Hatchback 2-Door,22900,1994,22951,Used,Plymouth,Michigan,United States,Used,1G1YY22P7R5119044,Chevrolet,Corvette,3.81556E+11
BMW,2 Series 228i,37495,2016,0,New,San Diego,California,United States,New,WBA1F9C57GV545881,BMW,2 Series,3.11563E+11
 Ford,Mustang SHELBY GT500 SUPERCHARGED NAV ,53980,2014,6710,Certified pre-owned,Stafford,Texas,United States,Certified pre-owned,1ZVBP8JZ6E5257090,Ford,Mustang,1.91822E+11
Mercedes-Benz,G-Class 4MATIC 4dr 5,57985,2006,82255,Used,Laguna Niguel,California,United States,Used ,Used ,“CLEAN CARFAX AND IN EXCELLENT CONDITION!FRESHLY BLACKED OUT AND NEW WHEELS AND TIRES.”,“CLEAN CARFAX AND IN EXCELLENT CONDITION!FRESHLY BLACKED OUT AND NEW WHEELS AND TIRES.”,2.72159E+11
Chevrolet,Camaro 2dr Coupe SS w/2SS,47989,2016,0,New,Duluth,Georgia,United States,New,1G1FG1R76G0129505,Chevrolet,Camaro,2.22051E+11
Ford,Fusion SE Sedan 4-Door,14999,2014,23250,Used,Riverview,Michigan,United States,Used,1FA6P0HD3E5372820,Ford,Fusion,3.01892E+11
Chevrolet,Corvette C4,10900,1996,46000,Used,Brunswick,Georgia,United States,Used ,Used ,“EXCELLENT CONDITION”,“EXCELLENT CONDITION”,1.61988E+11
 Ford,F-250 LARIAT CREW 4X4 DIESEL SUNROOF NAV ,52780,2014,6388,Certified pre-owned,Stafford,Texas,United States,Certified pre-owned,1FT7W2BT0EEB58610,Ford,F-250,1.91824E+11
Chevrolet,Corvette 2LT,55000,2015,5469,Used,Shawnee,Kansas,United States,Used,1G1YD2D73F5104934,Chevrolet,Corvette,1.21917E+11
Toyota,Tacoma Reg Cab Manu,6989,2001,151494,Used,Wurtsboro,New York,United States,Used,5TEPM62N01Z726988,Toyota,Tacoma,1.72128E+11
Ford,F-150 King Ranch,56575,2015,29,New,Hilton Head Island,South Carolina,United States,New,1FTEW1CG5FFB77023,Ford,F-150,3.71568E+11
Maserati,Quattroporte GTS Sedan 4-Door,79900,2014,8742,Certified pre-owned,Calabasas,California,United States,Certified pre-owned,ZAM56PPA0E1082014,Maserati,Quattroporte,3.8156E+11
Chevrolet,Corvette 350 V8 COUPE WITH 20K ORIGINAL MILES!,22500,1978,20600,Used,Santa Monica,California,United States,Used ,Used ,"“""Stunning 1978 Chevrolet Corvette in striking 'Corvette Red' color with a Light Beige leather interior & only 20K original miles!""”","“""Stunning 1978 Chevrolet Corvette in striking 'Corvette Red' color with a Light Beige leather interior & only 20K original miles!""”",3.81567E+11
BMW,M4 2dr Coupe,68900,2015,9094,Used,Miami,Florida,United States,Used,WBS3R9C53FK330476,BMW,M4,3.01889E+11
Rolls-Royce,Ghost Base Sedan 4-Door,179888,2013,6584,Used,Costa Mesa,California,United States,Used,SCA664S57DUX52230,Rolls-Royce,Ghost,1.72128E+11
Ford,Mustang GT Premium Convertible,31595,2010,11400,Used,Cranston,Rhode Island,United States,Used ,Used ,"“This is a beautiful and excellent Mustang Convertible - black on black. It has only been driven 11,400 miles and only in summer months. It is garaged all year. This vehicle has been modified by Tasca Ford Racing to include 550 HP Supercharger, Ford racing suspension and drive shaft, mufflers, whipple belt assembly etc. Original invoice $38,000 with another $22,000 modifications. This is a fun and exhilerating car to drive and in showroom condition.”","“This is a beautiful and excellent Mustang Convertible - black on black. It has only been driven 11,400 miles and only in summer months. It is garaged all year. This vehicle has been modified by Tasca Ford Racing to include 550 HP Supercharger, Ford racing suspension and drive shaft, mufflers, whipple belt assembly etc. Original invoice $38,000 with another $22,000 modifications. This is a fun and exhilerating car to drive and in showroom condition.”",1.31743E+11
 Ford,Maverick 2 Door Sedan I6 Automatic ,7950,1976,19815,Used,Thomaston,Connecticut,United States,Used ,Used ,“BEAUTIFUL Condition! Runs and Drives Like BRAND NEW! Mostly All Original Except the Exterior Paint!”,“BEAUTIFUL Condition! Runs and Drives Like BRAND NEW! Mostly All Original Except the Exterior Paint!”,1.72131E+11
Toyota,Tacoma,7000,2003,130,Used,Lebanon,New Hampshire,United States,Used,5TEWM72N93Z267819,Toyota,Tacoma,1.41925E+11
Mercedes-Benz,R-Class 4Matic Wagon 4-Door,15500,2008,64000,Used,Chino,California,United States,Used,4jgcb65ex8a075806,Mercedes-Benz,R-Class,2.81962E+11
Chevrolet,Other Pickups Apache,1950,1958, ,Used,Hot Springs National Park,Arkansas,United States,Used,31358K137812,Chevrolet,Other Pickups,2.81964E+11
 Chevrolet,Corvette COLLECTOR 60TH CONVERTIBLE ,57980,2013,6528,Certified pre-owned,Stafford,Texas,United States,Certified pre-owned,1G1Y73DE6D5700614,Chevrolet,Corvette,1.91824E+11
Acura,NSX Base Coupe 2-Door,85000,2004,43415,Used,Desoto,Texas,United States,Used,JH4NA12614T000005,Acura,NSX,3.22037E+11
Mercedes-Benz,S-Class Designo,117995,2015,8000,Used,Aliso Viejo,California,United States,Used ,Used ,"“Excellent condition, garage kept”","“Excellent condition, garage kept”",1.52005E+11
Toyota,Yaris 5dr Liftback,10995,2012,32785,Used,Long Beach,California,United States,Used,JTDKTUD33CD539298,Toyota,Yaris,1.9182E+11
Buick,Riviera Base Coupe 2-Door,9850,1999,52397,Used,Pompano Beach,Florida,United States,Used,1G4GD2212X4701108,Buick,Riviera,2.01528E+11
Ford,Mustang 2dr Conv SVT,29995,2004,73979,Used,Suwanee,Georgia,United States,Used,1FAFP49Y24F159942,Ford,Mustang,1.72126E+11
Ford,Mustang Predator GT302,15900,1984,105000,Used,Gardner,Kansas,United States,Used,1FABP28m5ef110057,Ford,Mustang,2.52313E+11
Chevrolet,Other Pickups,3000,1982,170133,Used,Cumby,Texas,United States,Used,J8ZBR14S9C8200714,Chevrolet,Other Pickups,2.72166E+11
Ford,F-250 2 Door ext. cab pick up,17500,1996,79000,Used,Webster,New York,United States,Used,1fthx26g9tea75379,Ford,F-250,2.72165E+11
Ford,Sedan 2 Door,45000,1937,400,Used,Nixa,Missouri,United States,Used,KF23181843TT6,Ford,Sedan,1.52006E+11
Ford,Other,8500,1951,8000,Used,Prairieville,Louisiana,United States,Used,B5082723,Ford,Other,2.62331E+11
Chevrolet,Other Pickups,9500,1987,103000,Used,Flagstaff,Arizona,United States,Used,1GCGR24N5HJ137964,Chevrolet,Other Pickups,2.91702E+11
BMW,2 Series 228i,40035,2016,0,New,San Diego,California,United States,New,WBA1F9C54GV545773,BMW,2 Series,3.11562E+11
 Chevrolet,Corvette Sport Coupe ,18900,1974,78330,Used,Plainfield,Illinois,United States,Used,1Z37J45410311,Chevrolet,Corvette,3.31792E+11
Other Makes,Pacemaker 4 Door,8500,1951,70694,Used,Wichita,Kansas,United States,Used ,Used ,“In Great Condition”,“In Great Condition”,1.21917E+11
Chevrolet,Corvette Stingray Z51,69000,2015,6,New,Lincolnton,North Carolina,United States,New,1G1YM2D7XF5122329,Chevrolet,Corvette,3.91405E+11
Ford,F-150 xlt,38000,2014,18988,Used,West Salem,Ohio,United States,Used,1ftfw1ef5efc65562,F-150,xlt,1.62004E+11
Ferrari,Other Base Convertible 2-Door,154950,2012,7405,Used,Miami,Florida,United States,Used,ZFF65LJA9C0182405,Ferrari,Other,3.91405E+11
Mercedes-Benz,CL-Class Base Coupe 2-Door,29700,2007,53003,Used,Fort Lauderdale,Florida,United States,Used,WDDEJ71X17A006620,Mercedes-Benz,CL-Class,3.51673E+11
 BMW,Other M Sport ,49995,2014,25390,Used,Woodland Hills,California,United States,Used,5UXKR2C50E0H31876,BMW,Other,2.52316E+11
Ford,F-250 Lariat,18980,2005,109469,Used,Corpus Christi,Texas,United States,Used,1FTSW21P35ED10975,Ford,F-250,1.31737E+11
Ford,F-150 FX4,35988,2013,15263,Used,Austin,Texas,United States,Used,1FTFW1EF0DFB09475,Ford,F-150,3.61508E+11
Chevrolet,Blazer Base Sport Utility 4-Door,600,1995,0,Used,The Rock,Georgia,United States,Used ,Used ,“as is/where is- was told it ran when parked- see below”,“as is/where is- was told it ran when parked- see below”,2.52312E+11
Mercedes-Benz,S-Class Base Sedan 4-Door,35000,2008,80000,Used,Kill Devil Hills,North Carolina,United States,Used,WDDNG77X38A168269,Mercedes-Benz,S-Class,3.31797E+11
Mercedes-Benz,CLK-Class 2dr Cabriole,19500,2009,53136,Used,Encino,California,United States,Used,WDBTK56FX9T108832,Mercedes-Benz,CLK-Class,1.52008E+11
BMW,4 Series 435i,69395,2016,0,New,San Diego,California,United States,New,WBA3T3C57G5A41087,BMW,4 Series,3.11561E+11
Chevrolet,Caprice PPV Sedan 4-Door,18000,2012,33800,Used,Hollywood,Florida,United States,Used ,Used ,“No defects and all recalls are up to date. A lady backed her Toyota into the front bumper. There was no damage but a police report was taken. No repairs were necessary.”,“No defects and all recalls are up to date. A lady backed her Toyota into the front bumper. There was no damage but a police report was taken. No repairs were necessary.”,1.41919E+11
 Chevrolet,Camaro 2dr Cpe Poli ,13980,2001,60331,Used,Houston,Texas,United States,Used ,Used ,"“TAKE LOOK AT THIS 2001 CHEVY CAMARO SS V8 6 SPEED WITH JUST 60K ,T-TOP IN GOOD CONDITION ACCIDENT FREE READY TO GO NEED DRIVER PLEASE CALL SEAN @ 713-878-3003 ,,,,FREE SHIPPING UP TO 500 WITH BUY IT NOW,,,”","“TAKE LOOK AT THIS 2001 CHEVY CAMARO SS V8 6 SPEED WITH JUST 60K ,T-TOP IN GOOD CONDITION ACCIDENT FREE READY TO GO NEED DRIVER PLEASE CALL SEAN @ 713-878-3003 ,,,,FREE SHIPPING UP TO 500 WITH BUY IT NOW,,,”",2.523E+11
Dodge,Viper 2dr Coupe,73000,2013,8250,Used,Bryantown,Maryland,United States,Used,1C3ADEBZ2DV400429,Dodge,Viper,1.2192E+11
Chevrolet,Other Pickups,3600,1957,83400,Used,Snohomish,Washington,United States,Used ,Used ,"“cab and front fenders are rusty currently missing grill, keys and some other small parts that I have not got from previous owner if I do get them they will come with the truck!”","“cab and front fenders are rusty currently missing grill, keys and some other small parts that I have not got from previous owner if I do get them they will come with the truck!”",3.01891E+11
BMW,2 Series 228i,39665,2016,0,New,San Diego,California,United States,New,WBA1F9C50GV546189,BMW,2 Series,3.11564E+11
Ford,Mustang 2 door,8500,1965,51528,Used,Carmel,Indiana,United States,Used,5T07C190009,Ford,Mustang,2.72159E+11
Maserati,Ghibli Base Sedan 4-Door,54900,2015,15636,Certified pre-owned,Calabasas,California,United States,Certified pre-owned,ZAM57XSA6F1129813,Maserati,Ghibli,3.81559E+11
Pontiac,Fiero GT Coupe 2-Door,4000,1987,98057,Used,Honolulu,Hawaii,United States,Used,1G2PG1197HP227383,Pontiac,Fiero,1.82049E+11
Porsche,Boxster Base Convertible 2-Door,21977,2007,43079,Used,Carol Stream,Illinois,United States,Used,WP0CA29897U712086,Porsche,Boxster,3.91405E+11
Chevrolet,Corvette Z06 Coupe 2-Door,134950,2015,150,New,Sealy,Texas,United States,New,1G1YU2D67G5601557,Chevrolet,Corvette,4.01085E+11
Ford,F-250 Service Body,5495,1997,254189,Used,Pompano Beach,Florida,United States,Used,1FTHF25H3VED14781,Ford,F-250,3.22033E+11
Chevrolet,Impala 2-Door Custom Coupe,36500,1969,12011,Used,Scottsdale,Arizona,United States,Used,164479F095034,Chevrolet,Impala,1.91814E+11
Ford,F-350 Limousine Truck,64900,2007,69000,Used,Las Vegas,Nevada,United States,Used ,Used ,“normal wear & tear..”,“normal wear & tear..”,3.01889E+11
Chevrolet,Other 2WD 4dr 2500,31500,2013,5531,Used,Cuyahoga Falls,Ohio,United States,Used,1GNWC5EG5DR328124,Chevrolet,Other,3.11564E+11
Chevrolet,Impala 2dr Post,1500,1964,0,Used,Huntsville,Alabama,United States,Used ,Used ,"“Car does NOT run. Missing motor and transmission. Missing interior. Needs floors, floor supports, trunk patches, and some bodywork.”","“Car does NOT run. Missing motor and transmission. Missing interior. Needs floors, floor supports, trunk patches, and some bodywork.”",2.01538E+11
Porsche,Boxster Base Convertible 2-Door,8200,1998,62007,Used,Lakeland,Florida,United States,Used,WP0CA298XWS620026,Porsche,Boxster,1.91822E+11
Toyota,MR2 GT Coupe 2-Door,8000,Canada,1989,Used,Brossard,Quebec,Canada,Used ,Used ,"“Well maintained vehicle, showroom condition, second owner.”","“Well maintained vehicle, showroom condition, second owner.”",1.72125E+11
Pontiac,GTO Base Coupe 2-Door,24500,2006,24500,Used,Chapin,South Carolina,United States,Used,6G2VX12U86L529590,Pontiac,GTO,2.31872E+11
Toyota,Tacoma,28000,2012,61000,Used,Fallbrook,California,United States,Used,5TFLU4EN7CX044943,Toyota,Tacoma,2.52315E+11
Ford,COUPE SUPER DELUXE,27500,1947,38600,Used,Henderson,Nevada,United States,Used ,Used ,"“This car is driven less than 1,000 miles per year. All of the engine/transmission work was done in Iowa and I drove it to Nevada starting with 75 miles on the rebuild. I had zero problems on the drive and have had none since. The work was done by a lifelong friend that is a master mechanic. The mileage is what the speedometer shows but was probably rebuilt at some time.”","“This car is driven less than 1,000 miles per year. All of the engine/transmission work was done in Iowa and I drove it to Nevada starting with 75 miles on the rebuild. I had zero problems on the drive and have had none since. The work was done by a lifelong friend that is a master mechanic. The mileage is what the speedometer shows but was probably rebuilt at some time.”",1.21919E+11
Toyota,Tacoma Pre Runner Extended Cab Pickup 2-Door,7800,2001,146300,Used,Kingwood,Texas,United States,Used ,Used ,“I am selling locally only. Good condition and drives well. Read more in the description below.”,“I am selling locally only. Good condition and drives well. Read more in the description below.”,1.82045E+11
Bentley,Continental GT GT Coupe 2-Door,129888,2012,18539,Used,Costa Mesa,California,United States,Used,SCBFR7ZA6CC072007,Bentley,Continental GT,1.72119E+11
 Chevrolet,Silverado 1500 4WD Crew Cab ,49900,2012,41583,Used,Costa Mesa,California,United States,Used,3GCUKSE26CG204304,Chevrolet,Silverado 1500,2.52302E+11
Ford,F-250,37975,2014,5712,New,Tulsa,Oklahoma,United States,New,1FT7W2B63EEA92614,Ford,F-250,1.91824E+11
BMW,2 Series 228i,38795,2016,0,New,San Diego,California,United States,New,WBA1F9C56GV546052,BMW,2 Series,3.11561E+11
Chevrolet,Camaro 2dr Coupe SS w/1SS,41114,2016,0,New,Duluth,Georgia,United States,New,1G1FF1R72G0149821,Chevrolet,Camaro,2.22051E+11
Chevrolet,Camaro 2dr Coupe SS w/2SS,46119,2016,0,New,Duluth,Georgia,United States,New,1G1FH1R73G0134450,Chevrolet,Camaro,2.22047E+11
Ford,F-250 XLT,20580,1999,97767,Used,Cleveland,Georgia,United States,Used ,Used ,“Call Fritz Hammersen for more info.”,“Call Fritz Hammersen for more info.”,1.41924E+11
Honda,S2000 Base Convertible 2-Door,15950,2000,66150,Used,San Antonio,Texas,United States,Used,JHMAP1149YT004693,Honda,S2000,1.91824E+11
Ford,Mustang GT,45000,1992,0,Used,Phoenix,Arizona,United States,Used,1FACP42E5NF144632,Ford,Mustang,3.01892E+11
Ford,F-100 2-Door Regular Cab,27500,1956,46266,Used,Christiansburg,Virginia,United States,Used,XXXXXXXXXXXXXXXXX,Ford,F-100,2.22036E+11
 Ford,F-250 4x4 DIESEL! ,26900,2002,94442,Used,Houston,Texas,United States,Used,1FTNW21F82EA03687,Ford,F-250,2.31873E+11
Chevrolet,Other Pickups 3100,21950,1955,2015,Used,Elko,Nevada,United States,Used,1955,auto,"2,015",1.51991E+11
Mercedes-Benz,E-Class Bluetec Sedan 4-Door,39885,2014,20956,Used,Costa Mesa,California,United States,Used,WDDHF0EB5EA878526,Mercedes-Benz,E-Class,1.41923E+11
Ford,Other 1932 coupe,42500,1932,1000,Used,Nashua,New Hampshire,United States,Used ,Used ,"“Neutral safety switch would be good to install. inside roof needs upholstery (I have upholstry), panel back of seat works fine but needs to be secured. rear up/down window in op at this time”","“Neutral safety switch would be good to install. inside roof needs upholstery (I have upholstry), panel back of seat works fine but needs to be secured. rear up/down window in op at this time”",2.81956E+11
Porsche,911 Carrera Coupe 2-Door,14950,1999,91751,Used,Bixby,Oklahoma,United States,Used,wp0aa2991xs623706,Porsche,911,2.81959E+11
Plymouth,Prowler Base Convertible 2-Door,20988,1999,71813,Used,Arlington,Texas,United States,Used,1P3EW65G7XV503275,Plymouth,Prowler,2.72164E+11
BMW,2 Series 228i,44720,2016,0,New,San Diego,California,United States,New,WBA1F9C53GV546073,BMW,2 Series,3.11563E+11
Pontiac,Solstice Base Convertible 2-Door,11400,2009,82292,Used,Marion,Arkansas,United States,Used,1G2MN35B49Y106176,Pontiac,Solstice,1.91825E+11
Other Makes 2 door sedan,,5500,1940,99999,Used,Clermont,Florida,United States,Used ,Used ,"“studebaker is a great project for anyone who has the time the vision and the money to restore the champion back to showroom quality, body is 90% solid with some rust spots in the trunk on the trunk lip, on the driver floor and on the passenger floor, rear pans are solid, the body has no dents”","“studebaker is a great project for anyone who has the time the vision and the money to restore the champion back to showroom quality, body is 90% solid with some rust spots in the trunk on the trunk lip, on the driver floor and on the passenger floor, rear pans are solid, the body has no dents”",1.11914E+11
Chevrolet,Corvette 2dr Hatchbac,21900,1982,69627,Used,Fort Lauderdale,Florida,United States,Used,1G1AY0781C5112556,Chevrolet,Corvette,2.91706E+11
Chevrolet,Other Pickups 5 window,21500,1949,96555,Used,Miami,Florida,United States,Used,1GP17469,Chevrolet,Other Pickups,2.62317E+11
 Ford,F-250 PLATINUM CREW 4X4 DIESEL SUNROOF NAV ,47980,2013,27336,Certified pre-owned,Stafford,Texas,United States,Certified pre-owned,1FT7W2BT3DEB45283,Ford,F-250,3.7157E+11
Chevrolet,Corvette 2dr Stingray Coupe w/1LT,55718,2016,0,New,Duluth,Georgia,United States,New,1G1YA2D70G5116274,Chevrolet,Corvette,2.22048E+11
Ford,F-250,6500,1970,100000,Used,El Paso,Texas,United States,Used,1970,Clear,Air Conditioning,2.31868E+11
Ford,F-150 XLT SuperCrew,19900,2010,65271,Used,West Chester,Pennsylvania,United States,Used,1FTEW1E88AFB50008,Ford,F-150,2.31872E+11
Chevrolet,Corvette 2dr,22500,2000,13400,Used,Oregon,Ohio,United States,Used,1G1YY32G8Y5119493,Chevrolet,Corvette,3.31801E+11
Ford,F-250 FreeShipping,22995,2002,120894,Used,Houston,Texas,United States,Used ,Used ,"“THIS IS A SUPER CLEAN TRUCK! BEAUTIFUL COLOR COMBO! XLT PACKAGE! THIS TRUCK HAS BEEN WELL KEPT ITS ENTIRE LIFE! THIS F250 RUNS AND DRIVES GREAT! A VERY HARD TO FIND TRUCK IN THIS CONDITION! THIS TRUCK IS IN VERY GOOD CONDITION INSIDE AND OUT!!! THIS TRUCK IS A 2-OWNER VEHICLE WITH ALL HIGHWAY MILES!! PLEASE HAVE YOUR FINANCING APPROVED BEFORE YOU COMMIT TO BUY OR MAKE AN OFFER! IF YOU CLICK THE ""BUY IT NOW"" EVEN BY ACCIDENT YOU WILL BE CHARGED A $225.00 RELISTING FEE. PLEASE BE VERY CAREFUL WHEN COMMITTING TO PURCHASE, PLEASE SEND OFFERS OR CLICK THE ""BUY IT NOW"" ONLY WHEN YOU ARE READY TO PURCHASE THIS VEHICLE!!! IF YOU HAVE ANY QUESTIONS REGARDING THIS VEHICLE PLEASE CONTACT US BEFORE COMMITTING TO BUY OR MAKING AN OFFER! BUYERS WITH LESS THAN 3 FEED BACK SCORE, PLEASE CONTACT US BEFORE YOU COMMIT TO BUY. PLEASE HAVE A $500 DEPOSIT READY AFTER PURCHASE, BUYERS CAN PAY DEPOSIT VIA PAYPAL OR CREDIT CARD OVER THE PHONE, PLEASE CALL 713-261-4311 FOR PAYMENTS AND OTHER QUESTION”","“THIS IS A SUPER CLEAN TRUCK! BEAUTIFUL COLOR COMBO! XLT PACKAGE! THIS TRUCK HAS BEEN WELL KEPT ITS ENTIRE LIFE! THIS F250 RUNS AND DRIVES GREAT! A VERY HARD TO FIND TRUCK IN THIS CONDITION! THIS TRUCK IS IN VERY GOOD CONDITION INSIDE AND OUT!!! THIS TRUCK IS A 2-OWNER VEHICLE WITH ALL HIGHWAY MILES!! PLEASE HAVE YOUR FINANCING APPROVED BEFORE YOU COMMIT TO BUY OR MAKE AN OFFER! IF YOU CLICK THE ""BUY IT NOW"" EVEN BY ACCIDENT YOU WILL BE CHARGED A $225.00 RELISTING FEE. PLEASE BE VERY CAREFUL WHEN COMMITTING TO PURCHASE, PLEASE SEND OFFERS OR CLICK THE ""BUY IT NOW"" ONLY WHEN YOU ARE READY TO PURCHASE THIS VEHICLE!!! IF YOU HAVE ANY QUESTIONS REGARDING THIS VEHICLE PLEASE CONTACT US BEFORE COMMITTING TO BUY OR MAKING AN OFFER! BUYERS WITH LESS THAN 3 FEED BACK SCORE, PLEASE CONTACT US BEFORE YOU COMMIT TO BUY. PLEASE HAVE A $500 DEPOSIT READY AFTER PURCHASE, BUYERS CAN PAY DEPOSIT VIA PAYPAL OR CREDIT CARD OVER THE PHONE, PLEASE CALL 713-261-4311 FOR PAYMENTS AND OTHER QUESTION”",1.91813E+11
Nissan,370Z Nismo Coupe 2-Door,26700,2009,59114,Used,Fort Lauderdale,Florida,United States,Used,JN1AZ44E19M411083,Nissan,370Z,3.51661E+11
Chevrolet,Corvette Base Hatchback 2-Door,18500,1984,45657,New,Coopersburg,Pennsylvania,United States,New,1G1AY0780E5122577,Chevrolet,Corvette,3.01894E+11
Chevrolet,Camaro Camaro 2SS,31549,2013,13165,Used,Broomfield,Colorado,United States,Used,2G1FT1EW6D9173224,Chevrolet,Camaro,3.11565E+11
BMW,M5 Base Sedan 4-Door,25995,2003,73584,Used,Bohemia,New York,United States,Used,WBSDE93423CF93848,BMW,M5,3.51673E+11
Ford,Mustang gt500 - like new!,32900,2007,17725,Used,Bohemia,New York,United States,Used,WBSDE93423CF93848,BMW,M5,3.51673E+11
 Dodge,Ram 1500 base 2 door ,1500,1994,175000,Used,Kennett,Missouri,United States,Used ,Used ,“1994 dodge ram 1500 4 x 4 318 auto transmission leaks trans fluid out of front seal and rear seal tires are worn pretty bad needs a tps sensor and ignition switch i lost keys and had to move it so i had to start it with a screw driver motor and transmission are bot in great working shape besides what i have stated after market 15 inch wheels 35 inch tires needs a few bushings replaced in front end a/c does not work it needs freon compressor is good 4x4 works great dash is cracked airbag blown truck not wrecked i accidently shorted a hot wire and it blew the air bag out”,“1994 dodge ram 1500 4 x 4 318 auto transmission leaks trans fluid out of front seal and rear seal tires are worn pretty bad needs a tps sensor and ignition switch i lost keys and had to move it so i had to start it with a screw driver motor and transmission are bot in great working shape besides what i have stated after market 15 inch wheels 35 inch tires needs a few bushings replaced in front end a/c does not work it needs freon compressor is good 4x4 works great dash is cracked airbag blown truck not wrecked i accidently shorted a hot wire and it blew the air bag out”,2.6233E+11
